L_Id,Date of Creation,Agent Category Assigned,Type of Request,Description of the Request,Location,Street Type,Region Type,Ward No,Estimated Date of Completion,Request Solution Category,Actual Date of Completion,Team Assigned,A_1,A_2,Problem Category
LM_1710,23-12-2018 00:06,1,2,31,13,11357,0,47,23-12-2018 09:06,8,23-12-2018 09:50,31,3,3,1
LM_1711,01-12-2018 20:56,1,14,22,13,10029,0,30,02-12-2018 05:56,6,01-12-2018 22:04,42,2,2,1
LM_1712,16-12-2018 10:03,1,3,41,13,11433,2,23,16-12-2018 19:03,10,16-12-2018 15:24,51,3,3,1
LM_1713,19-12-2018 21:18,1,10,10,13,11205,1,7,20-12-2018 06:18,2,19-12-2018 23:06,12,1,1,1
LM_1714,19-12-2018 15:09,1,2,27,13,11214,0,7,20-12-2018 00:09,2,19-12-2018 17:34,45,1,1,1
LM_1715,16-12-2018 18:22,1,2,27,13,11103,0,1,17-12-2018 03:22,4,17-12-2018 01:07,4,3,3,1
LM_1716,29-12-2018 15:28,1,8,25,12,10036,0,30,30-12-2018 00:28,7,29-12-2018 17:07,22,2,2,1
LM_1717,05-12-2018 18:26,1,15,17,13,11430,5,23,06-12-2018 03:26,8,05-12-2018 21:08,65,3,3,1
LM_1718,14-12-2018 22:33,1,2,27,13,11385,0,38,15-12-2018 07:33,4,15-12-2018 04:34,23,3,3,1
LM_1719,08-12-2018 20:05,1,2,27,13,10467,2,6,09-12-2018 05:05,8,08-12-2018 22:24,44,0,0,1
LM_1720,30-12-2018 22:22,1,0,26,10,11415,0,24,31-12-2018 07:22,7,31-12-2018 00:33,39,3,3,1
LM_1721,14-12-2018 18:35,1,0,7,8,11420,0,42,15-12-2018 03:35,7,15-12-2018 00:19,43,3,3,1
LM_1722,28-12-2018 15:44,1,20,20,13,11214,2,7,29-12-2018 00:44,6,28-12-2018 20:08,45,1,1,1
LM_1723,06-12-2018 18:47,1,2,27,13,11205,0,7,07-12-2018 03:47,2,06-12-2018 20:20,7,1,1,1
LM_1724,22-12-2018 23:59,1,11,22,0,10464,0,6,23-12-2018 08:59,8,23-12-2018 08:17,40,0,0,1
LM_1725,25-12-2018 13:41,1,14,23,13,10459,3,6,25-12-2018 22:41,7,25-12-2018 18:24,6,0,0,1
LM_1726,10-12-2018 19:57,1,2,27,13,10466,0,6,11-12-2018 04:57,2,11-12-2018 02:40,48,0,0,1
LM_1727,24-12-2018 02:04,1,11,22,12,,4,31,24-12-2018 11:04,12,,0,5,5,2
LM_1728,10-12-2018 17:19,1,0,26,13,11385,0,38,11-12-2018 02:19,8,11-12-2018 21:36,23,3,3,1
LM_1729,15-12-2018 19:42,1,0,29,10,11103,0,1,16-12-2018 04:42,6,15-12-2018 21:28,4,3,3,1
LM_1730,11-12-2018 23:02,1,2,27,13,11216,0,7,12-12-2018 08:02,7,12-12-2018 00:41,12,1,1,1
LM_1731,05-12-2018 00:50,1,14,22,13,11225,0,7,05-12-2018 09:50,8,05-12-2018 05:27,37,1,1,1
LM_1732,07-12-2018 08:42,1,2,27,13,11236,0,7,07-12-2018 17:42,6,07-12-2018 16:51,59,1,1,1
LM_1733,06-12-2018 21:02,1,16,25,13,11414,2,21,07-12-2018 06:02,8,07-12-2018 01:20,43,3,3,1
LM_1734,09-12-2018 15:15,1,10,10,13,10465,0,6,10-12-2018 00:15,4,10-12-2018 08:06,40,0,0,1
LM_1735,15-12-2018 19:57,1,2,27,13,11416,0,33,16-12-2018 04:57,2,16-12-2018 00:46,39,3,3,1
LM_1736,04-12-2018 15:32,1,2,27,13,10461,0,6,05-12-2018 00:32,2,04-12-2018 17:06,44,0,0,1
LM_1737,13-12-2018 00:06,1,10,10,13,11225,2,7,13-12-2018 09:06,4,13-12-2018 10:28,37,1,1,1
LM_1738,21-12-2018 20:05,1,2,31,13,11374,0,36,22-12-2018 05:05,6,22-12-2018 03:12,27,3,3,1
LM_1739,30-11-2018 18:23,1,2,27,13,11413,0,44,01-12-2018 03:23,8,01-12-2018 08:04,53,3,3,1
LM_1740,20-12-2018 21:36,1,15,5,13,10281,2,30,21-12-2018 06:36,8,21-12-2018 01:32,3,2,2,1
LM_1741,01-12-2018 12:44,1,2,31,13,11205,0,7,01-12-2018 21:44,8,01-12-2018 17:05,7,1,1,1
LM_1742,11-12-2018 02:48,1,2,27,13,11103,0,1,11-12-2018 11:48,8,11-12-2018 08:10,4,3,3,1
LM_1743,05-12-2018 22:23,1,11,22,12,10003,0,30,06-12-2018 07:23,7,05-12-2018 23:59,13,2,2,1
LM_1744,28-12-2018 00:11,1,3,41,13,11235,2,7,28-12-2018 09:11,4,28-12-2018 03:51,52,1,1,1
LM_1745,08-12-2018 17:30,1,2,27,13,11218,0,7,09-12-2018 02:30,4,08-12-2018 23:34,29,1,1,1
LM_1746,12-12-2018 00:47,1,10,10,13,11215,0,7,12-12-2018 09:47,4,12-12-2018 03:34,25,1,1,1
LM_1747,09-12-2018 12:46,1,10,14,13,10033,1,30,09-12-2018 21:46,15,10-12-2018 01:05,50,2,2,1
LM_1748,10-12-2018 18:37,1,2,27,13,11357,0,47,11-12-2018 03:37,2,10-12-2018 22:00,31,3,3,1
LM_1749,20-07-2018 12:49,1,14,22,13,,4,31,20-07-2018 21:49,12,,0,5,5,2
LM_1750,05-12-2018 14:19,1,11,22,12,11101,0,26,05-12-2018 23:19,8,05-12-2018 17:11,9,3,3,1
LM_1751,17-12-2018 13:20,1,0,26,13,10036,1,30,17-12-2018 22:20,7,17-12-2018 15:27,22,2,2,1
LM_1752,30-12-2018 00:18,1,11,22,12,11216,0,7,30-12-2018 09:18,7,30-12-2018 04:51,12,1,1,1
LM_1753,06-12-2018 11:36,1,0,29,13,11356,2,10,06-12-2018 20:36,8,06-12-2018 16:07,31,3,3,1
LM_1754,11-12-2018 06:59,1,14,23,13,10002,0,30,11-12-2018 15:59,7,11-12-2018 09:16,13,2,2,1
LM_1755,16-12-2018 09:57,1,2,27,13,11429,0,35,16-12-2018 18:57,2,16-12-2018 16:06,53,3,3,1
LM_1756,26-12-2018 21:12,1,2,27,13,11233,0,7,27-12-2018 06:12,4,27-12-2018 02:34,12,1,1,1
LM_1757,13-12-2018 02:06,1,11,22,12,11220,0,7,13-12-2018 11:06,8,13-12-2018 07:34,29,1,1,1
LM_1758,11-12-2018 07:36,1,2,27,13,10453,0,6,11-12-2018 16:36,8,11-12-2018 10:53,20,0,0,1
LM_1759,25-12-2018 23:57,1,14,22,13,10454,0,6,26-12-2018 08:57,8,26-12-2018 01:16,1,0,0,1
LM_1760,24-12-2018 16:28,1,13,22,7,10003,0,30,25-12-2018 01:28,8,25-12-2018 02:13,8,2,2,1
LM_1761,08-12-2018 17:54,1,14,23,13,10016,2,30,09-12-2018 02:54,6,08-12-2018 21:31,26,2,2,1
LM_1762,18-12-2018 04:33,1,10,34,13,11103,0,1,18-12-2018 13:33,4,18-12-2018 09:24,4,3,3,1
LM_1763,06-12-2018 17:40,1,10,3,13,11207,0,7,07-12-2018 02:40,6,06-12-2018 20:22,21,1,1,1
LM_1764,11-12-2018 13:27,1,2,31,13,11103,0,1,11-12-2018 22:27,4,11-12-2018 16:25,4,3,3,1
LM_1765,06-12-2018 14:30,1,10,3,13,11210,0,7,06-12-2018 23:30,7,06-12-2018 17:09,59,1,1,1
LM_1766,22-12-2018 08:44,1,10,34,13,11378,0,27,22-12-2018 17:44,2,22-12-2018 14:40,23,3,3,1
LM_1767,06-12-2018 22:54,1,11,22,0,10025,0,30,07-12-2018 07:54,8,07-12-2018 00:40,30,2,2,1
LM_1768,01-12-2018 10:16,1,0,26,13,10460,0,6,01-12-2018 19:16,9,02-12-2018 08:01,24,0,0,1
LM_1769,04-12-2018 02:10,1,14,23,13,10033,3,30,04-12-2018 11:10,4,04-12-2018 05:14,3,2,2,1
LM_1770,02-12-2018 11:23,1,10,34,13,11209,3,7,02-12-2018 20:23,4,02-12-2018 13:58,2,1,1,1
LM_1771,12-12-2018 17:35,1,12,22,5,11216,2,7,13-12-2018 02:35,6,12-12-2018 19:02,12,1,1,1
LM_1772,14-12-2018 01:54,1,10,2,13,11355,0,16,14-12-2018 10:54,2,14-12-2018 05:56,31,3,3,1
LM_1773,30-12-2018 19:01,1,2,31,13,11413,0,44,31-12-2018 04:01,10,31-12-2018 10:38,53,3,3,1
LM_1774,13-12-2018 00:41,1,14,23,13,10017,0,30,13-12-2018 09:41,6,13-12-2018 09:48,26,2,2,1
LM_1775,06-12-2018 22:27,1,2,31,13,10469,0,6,07-12-2018 07:27,4,07-12-2018 01:32,44,0,0,1
LM_1776,25-07-2018 02:29,1,14,22,13,,4,31,25-07-2018 11:29,12,,0,5,5,0
LM_1777,28-12-2018 12:59,1,11,22,12,11104,0,46,28-12-2018 21:59,8,28-12-2018 21:23,9,3,3,1
LM_1778,27-12-2018 17:06,1,10,34,13,11366,0,18,28-12-2018 02:06,8,27-12-2018 20:45,35,3,3,1
LM_1779,19-12-2018 15:33,1,14,23,13,10309,0,45,20-12-2018 00:33,6,19-12-2018 18:40,15,4,4,1
LM_1780,06-12-2018 19:13,1,10,10,13,11433,2,23,07-12-2018 04:13,8,06-12-2018 22:07,51,3,3,1
LM_1781,18-12-2018 11:46,1,11,22,12,10029,1,30,18-12-2018 20:46,8,18-12-2018 14:36,46,2,2,1
LM_1782,12-12-2018 13:53,1,2,27,13,11208,0,7,12-12-2018 22:53,15,12-12-2018 18:41,21,1,1,1
LM_1783,21-12-2018 01:00,1,3,41,13,10464,0,6,21-12-2018 10:00,8,21-12-2018 09:57,40,0,0,1
LM_1784,17-12-2018 19:08,1,2,27,13,10462,0,6,18-12-2018 04:08,8,17-12-2018 21:42,36,0,0,1
LM_1785,17-12-2018 12:40,1,2,27,13,11377,0,49,17-12-2018 21:40,2,17-12-2018 15:47,19,3,3,1
LM_1786,20-12-2018 23:58,1,11,23,12,10010,0,30,21-12-2018 08:58,8,21-12-2018 01:50,26,2,2,1
LM_1787,04-12-2018 00:18,1,2,27,13,11236,1,7,04-12-2018 09:18,4,04-12-2018 09:15,59,1,1,1
LM_1788,15-12-2018 19:58,1,2,31,13,11219,0,7,16-12-2018 04:58,8,16-12-2018 01:04,49,1,1,1
LM_1789,27-12-2018 22:33,1,2,27,13,11377,0,49,28-12-2018 07:33,6,28-12-2018 00:28,9,3,3,1
LM_1790,27-12-2018 12:52,1,8,25,13,10019,0,30,27-12-2018 21:52,7,27-12-2018 16:05,22,2,2,1
LM_1791,30-12-2018 08:51,1,11,1,12,11368,0,11,30-12-2018 17:51,6,30-12-2018 11:17,19,3,3,1
LM_1792,24-12-2018 10:03,1,2,31,13,11230,0,7,24-12-2018 19:03,2,24-12-2018 18:56,54,1,1,1
LM_1793,05-12-2018 01:01,1,10,2,13,11228,0,7,05-12-2018 10:01,6,05-12-2018 03:26,41,1,1,1
LM_1794,02-12-2018 08:22,1,3,41,13,11211,0,7,02-12-2018 17:22,6,02-12-2018 17:20,2,1,1,1
LM_1795,20-12-2018 12:00,1,10,34,13,11212,2,7,20-12-2018 21:00,8,20-12-2018 13:47,57,1,1,1
LM_1796,28-12-2018 09:51,1,10,34,13,11204,0,7,28-12-2018 18:51,6,28-12-2018 11:52,45,1,1,1
LM_1797,27-12-2018 22:39,1,10,34,13,11414,3,21,28-12-2018 07:39,8,28-12-2018 00:17,4,3,3,1
LM_1798,04-07-2018 22:32,1,10,14,13,,4,31,05-07-2018 07:32,12,,0,5,5,2
LM_1799,16-12-2018 19:37,1,15,5,13,10036,1,30,17-12-2018 04:37,8,16-12-2018 21:24,18,2,2,1
LM_1800,07-12-2018 13:12,1,10,3,13,11232,2,7,07-12-2018 22:12,8,07-12-2018 17:55,29,1,1,1
LM_1801,17-12-2018 17:46,1,10,2,13,11238,0,7,18-12-2018 02:46,4,17-12-2018 22:41,33,1,1,1
LM_1802,08-12-2018 08:14,1,10,10,13,11367,0,16,08-12-2018 17:14,6,08-12-2018 13:15,35,3,3,1
LM_1803,16-12-2018 08:24,1,3,41,13,11354,2,16,16-12-2018 17:24,10,16-12-2018 10:31,31,3,3,1
LM_1804,11-12-2018 20:52,1,14,22,13,10032,0,30,12-12-2018 05:52,2,11-12-2018 22:13,50,2,2,1
LM_1805,14-12-2018 14:13,1,10,34,13,10029,0,30,14-12-2018 23:13,8,14-12-2018 18:55,46,2,2,1
LM_1806,06-12-2018 13:17,1,15,5,13,11216,0,7,06-12-2018 22:17,6,06-12-2018 17:24,33,1,1,1
LM_1807,26-12-2018 03:08,1,11,22,12,10034,0,30,26-12-2018 12:08,7,26-12-2018 10:55,50,2,2,1
LM_1808,25-12-2018 18:05,1,14,23,13,10304,0,45,26-12-2018 03:05,6,25-12-2018 23:24,5,4,4,1
LM_1809,24-12-2018 04:12,1,11,22,0,11419,0,43,24-12-2018 13:12,8,24-12-2018 09:55,43,3,3,1
LM_1810,22-12-2018 20:01,1,10,2,13,11214,0,7,23-12-2018 05:01,2,23-12-2018 00:03,45,1,1,1
LM_1811,05-12-2018 07:45,1,12,23,5,10022,0,30,05-12-2018 16:45,6,05-12-2018 09:51,26,2,2,1
LM_1812,25-07-2018 01:50,1,14,22,13,,4,31,25-07-2018 10:50,12,,0,5,5,0
LM_1813,27-12-2018 14:59,1,20,20,13,10007,2,30,27-12-2018 23:59,7,27-12-2018 16:56,3,2,2,1
LM_1814,05-12-2018 19:14,1,14,23,13,11225,0,7,06-12-2018 04:14,7,05-12-2018 21:15,37,1,1,1
LM_1815,28-12-2018 09:26,1,10,2,13,10455,0,6,28-12-2018 18:26,4,28-12-2018 12:48,6,0,0,1
LM_1816,15-12-2018 10:24,1,10,15,13,11228,0,7,15-12-2018 19:24,6,15-12-2018 12:00,41,1,1,1
LM_1817,10-12-2018 10:12,1,2,27,13,11221,0,7,10-12-2018 19:12,2,10-12-2018 15:36,17,1,1,1
LM_1818,29-12-2018 01:09,1,11,22,0,11211,0,7,29-12-2018 10:09,8,29-12-2018 02:42,2,1,1,1
LM_1819,20-12-2018 12:07,1,5,21,13,11355,2,16,20-12-2018 21:07,7,20-12-2018 15:34,31,3,3,1
LM_1820,20-07-2018 16:35,1,14,22,6,11432,0,23,21-07-2018 01:35,7,,51,3,3,2
LM_1821,30-12-2018 02:55,1,14,23,13,11221,0,7,30-12-2018 11:55,8,30-12-2018 04:52,17,1,1,1
LM_1822,22-12-2018 14:43,1,3,41,13,10466,0,6,22-12-2018 23:43,6,23-12-2018 17:24,48,0,0,1
LM_1823,18-12-2018 17:45,1,2,31,13,11374,0,36,19-12-2018 02:45,4,18-12-2018 21:50,27,3,3,1
LM_1824,28-12-2018 22:22,1,2,27,13,11236,0,7,29-12-2018 07:22,2,29-12-2018 01:28,59,1,1,1
LM_1825,05-12-2018 23:01,1,10,10,13,11378,0,27,06-12-2018 08:01,6,06-12-2018 05:17,23,3,3,1
LM_1826,27-12-2018 00:36,1,2,27,13,10460,0,6,27-12-2018 09:36,7,27-12-2018 03:08,24,0,0,1
LM_1827,16-05-2018 03:37,1,11,22,0,,4,31,16-05-2018 12:37,12,,0,5,5,0
LM_1828,16-12-2018 10:55,1,10,34,13,10028,0,30,16-12-2018 19:55,8,16-12-2018 13:16,34,2,2,1
LM_1829,09-12-2018 15:46,1,10,14,13,11229,2,7,10-12-2018 00:46,4,10-12-2018 07:24,54,1,1,1
LM_1830,10-12-2018 23:59,1,2,27,13,11217,0,7,11-12-2018 08:59,8,11-12-2018 01:25,7,1,1,1
LM_1831,17-12-2018 08:48,1,0,26,10,11214,0,7,17-12-2018 17:48,9,17-12-2018 13:18,45,1,1,1
LM_1832,21-12-2018 18:22,1,11,23,12,10036,0,30,22-12-2018 03:22,7,21-12-2018 20:43,18,2,2,1
LM_1833,14-12-2018 13:49,1,2,27,13,11232,0,7,14-12-2018 22:49,4,14-12-2018 23:45,29,1,1,1
LM_1834,02-12-2018 17:23,1,10,34,13,11209,0,7,03-12-2018 02:23,7,02-12-2018 22:43,41,1,1,1
LM_1835,17-12-2018 13:59,1,10,34,13,10466,2,6,17-12-2018 22:59,11,18-12-2018 13:34,48,0,0,1
LM_1836,02-05-2018 14:44,1,10,3,13,,4,31,02-05-2018 23:44,12,,0,5,5,2
LM_1837,30-11-2018 14:29,1,3,41,13,11230,0,7,30-11-2018 23:29,6,30-11-2018 17:09,49,1,1,1
LM_1838,07-12-2018 06:04,1,2,27,13,11210,0,7,07-12-2018 15:04,10,07-12-2018 07:19,59,1,1,1
LM_1839,20-12-2018 16:04,1,10,14,13,11201,3,7,21-12-2018 01:04,4,20-12-2018 20:04,7,1,1,1
LM_1840,08-12-2018 00:54,1,14,22,13,10472,0,6,08-12-2018 09:54,4,08-12-2018 03:02,36,0,0,1
LM_1841,26-12-2018 08:40,1,2,27,13,10466,0,6,26-12-2018 17:40,6,26-12-2018 15:51,48,0,0,1
LM_1842,01-12-2018 19:09,1,2,27,13,11377,0,49,02-12-2018 04:09,8,02-12-2018 07:10,9,3,3,1
LM_1843,07-12-2018 19:17,1,2,27,13,11370,0,12,08-12-2018 04:17,2,07-12-2018 21:26,14,3,3,1
LM_1844,14-12-2018 05:40,1,2,27,13,10463,0,6,14-12-2018 14:40,2,14-12-2018 07:44,32,0,0,1
LM_1845,29-12-2018 15:45,1,10,15,13,10456,2,6,30-12-2018 00:45,2,29-12-2018 17:28,11,0,0,1
LM_1846,11-12-2018 23:12,1,10,15,13,11216,0,7,12-12-2018 08:12,4,12-12-2018 01:12,12,1,1,1
LM_1847,12-12-2018 21:20,1,2,27,13,10452,0,6,13-12-2018 06:20,8,13-12-2018 01:14,16,0,0,1
LM_1848,05-12-2018 01:25,1,11,22,0,10030,0,30,05-12-2018 10:25,8,05-12-2018 05:13,42,2,2,1
LM_1849,11-12-2018 01:41,1,11,22,0,11105,0,1,11-12-2018 10:41,8,11-12-2018 03:51,4,3,3,1
LM_1850,05-12-2018 02:24,1,11,22,0,10466,0,6,05-12-2018 11:24,8,05-12-2018 10:56,48,0,0,1
LM_1851,14-12-2018 16:16,1,2,31,13,11361,0,3,15-12-2018 01:16,4,14-12-2018 21:34,47,3,3,1
LM_1852,27-12-2018 19:18,1,2,27,13,10466,0,6,28-12-2018 04:18,8,28-12-2018 05:05,48,0,0,1
LM_1853,03-12-2018 13:13,1,10,15,13,10128,2,30,03-12-2018 22:13,4,03-12-2018 22:18,34,2,2,1
LM_1854,09-12-2018 15:07,1,14,23,13,10019,0,30,10-12-2018 00:07,15,09-12-2018 17:51,18,2,2,1
LM_1855,23-12-2018 10:56,1,3,41,13,11207,0,7,23-12-2018 19:56,8,23-12-2018 22:06,21,1,1,1
LM_1856,14-12-2018 20:49,1,2,27,13,11214,0,7,15-12-2018 05:49,2,15-12-2018 01:33,45,1,1,1
LM_1857,30-11-2018 15:29,1,10,34,13,10016,0,30,01-12-2018 00:29,7,30-11-2018 16:35,22,2,2,1
LM_1858,10-12-2018 00:06,1,15,5,13,10016,2,30,10-12-2018 09:06,8,10-12-2018 01:44,26,2,2,1
LM_1859,02-12-2018 22:12,1,11,1,12,10013,0,30,03-12-2018 07:12,8,03-12-2018 01:01,3,2,2,1
LM_1860,14-12-2018 23:28,1,2,31,13,10019,0,30,15-12-2018 08:28,4,15-12-2018 02:24,22,2,2,1
LM_1861,26-12-2018 19:30,1,2,31,13,11230,0,7,27-12-2018 04:30,2,26-12-2018 23:58,54,1,1,1
LM_1862,18-12-2018 02:47,1,11,22,12,10018,3,30,18-12-2018 11:47,10,18-12-2018 04:37,18,2,2,1
LM_1863,19-12-2018 00:47,1,10,14,13,11374,0,36,19-12-2018 09:47,8,19-12-2018 04:38,27,3,3,1
LM_1864,05-12-2018 12:57,1,11,22,12,10026,0,30,05-12-2018 21:57,8,05-12-2018 17:24,42,2,2,1
LM_1865,05-12-2018 06:40,1,8,25,13,10021,2,30,05-12-2018 15:40,15,05-12-2018 09:35,34,2,2,1
LM_1866,30-11-2018 13:30,1,3,41,13,11209,0,7,30-11-2018 22:30,2,30-11-2018 19:30,41,1,1,1
LM_1867,07-12-2018 13:49,1,2,27,13,11232,0,7,07-12-2018 22:49,2,07-12-2018 16:54,29,1,1,1
LM_1868,27-12-2018 20:14,1,2,27,13,11385,0,38,28-12-2018 05:14,4,27-12-2018 23:32,23,3,3,1
LM_1869,18-12-2018 10:53,1,10,15,13,10473,1,6,18-12-2018 19:53,4,18-12-2018 20:13,36,0,0,1
LM_1870,18-12-2018 19:01,1,2,27,13,11368,0,11,19-12-2018 04:01,4,19-12-2018 01:39,19,3,3,1
LM_1871,15-12-2018 11:25,1,2,27,13,11377,0,49,15-12-2018 20:25,4,15-12-2018 13:12,9,3,3,1
LM_1872,25-12-2018 23:54,1,10,14,13,11414,0,21,26-12-2018 08:54,10,26-12-2018 03:46,43,3,3,1
LM_1873,25-12-2018 18:30,1,2,27,13,10457,0,6,26-12-2018 03:30,2,26-12-2018 00:37,20,0,0,1
LM_1874,15-12-2018 19:34,1,2,31,13,11355,0,16,16-12-2018 04:34,2,15-12-2018 21:53,31,3,3,1
LM_1875,21-12-2018 22:04,1,10,10,13,11209,0,7,22-12-2018 07:04,10,21-12-2018 23:11,41,1,1,1
LM_1876,04-12-2018 10:37,1,10,2,13,,4,31,04-12-2018 19:37,12,,0,5,5,2
LM_1877,25-12-2018 16:14,1,10,3,13,11379,0,28,26-12-2018 01:14,2,25-12-2018 22:22,23,3,3,1
LM_1878,26-12-2018 13:37,1,10,14,13,11217,0,7,26-12-2018 22:37,6,26-12-2018 15:02,33,1,1,1
LM_1879,23-12-2018 18:24,1,2,31,13,11228,0,7,24-12-2018 03:24,7,23-12-2018 23:35,41,1,1,1
LM_1880,18-12-2018 16:04,1,10,15,13,10034,0,30,19-12-2018 01:04,8,18-12-2018 17:54,50,2,2,1
LM_1881,30-11-2018 21:56,1,2,27,13,10310,0,45,01-12-2018 06:56,4,01-12-2018 01:03,5,4,4,1
LM_1882,21-12-2018 22:47,1,10,3,13,10471,0,6,22-12-2018 07:47,8,22-12-2018 02:25,32,0,0,1
LM_1883,05-12-2018 00:49,1,11,22,0,11432,0,23,05-12-2018 09:49,7,05-12-2018 06:16,35,3,3,1
LM_1884,25-12-2018 22:56,1,10,34,13,11101,0,26,26-12-2018 07:56,8,26-12-2018 03:01,4,3,3,1
LM_1885,30-12-2018 17:50,1,3,41,13,11420,2,42,31-12-2018 02:50,10,30-12-2018 22:24,43,3,3,1
LM_1886,16-12-2018 21:25,1,2,31,13,11372,0,22,17-12-2018 06:25,2,16-12-2018 23:28,14,3,3,1
LM_1887,17-12-2018 06:26,1,2,27,13,11378,0,27,17-12-2018 15:26,4,17-12-2018 10:22,23,3,3,1
LM_1888,09-12-2018 19:12,1,10,3,13,10003,0,30,10-12-2018 04:12,15,09-12-2018 20:20,8,2,2,1
LM_1889,18-12-2018 09:51,1,2,27,13,10310,0,45,18-12-2018 18:51,2,18-12-2018 13:14,5,4,4,1
LM_1890,14-12-2018 23:35,1,17,40,13,10312,0,45,15-12-2018 08:35,6,15-12-2018 00:46,15,4,4,1
LM_1891,22-12-2018 00:11,1,14,22,13,,4,31,22-12-2018 09:11,12,,0,5,5,2
LM_1892,12-12-2018 04:07,1,2,27,13,11692,0,0,12-12-2018 13:07,2,12-12-2018 05:54,55,3,3,1
LM_1893,26-12-2018 13:11,1,2,27,13,11419,0,43,26-12-2018 22:11,4,26-12-2018 16:39,43,3,3,1
LM_1894,27-12-2018 17:50,1,2,27,13,11374,0,36,28-12-2018 02:50,4,28-12-2018 00:12,27,3,3,1
LM_1895,29-12-2018 09:35,1,2,27,13,11694,0,39,29-12-2018 18:35,7,29-12-2018 12:16,55,3,3,1
LM_1896,15-12-2018 19:04,1,11,22,0,10465,0,6,16-12-2018 04:04,7,16-12-2018 00:20,40,0,0,1
LM_1897,23-12-2018 00:29,1,10,34,13,11102,0,1,23-12-2018 09:29,7,23-12-2018 03:12,4,3,3,1
LM_1898,05-12-2018 01:05,1,11,22,0,10036,0,30,05-12-2018 10:05,8,05-12-2018 03:30,18,2,2,1
LM_1899,27-12-2018 10:29,1,10,2,13,11209,0,7,27-12-2018 19:29,7,27-12-2018 12:41,41,1,1,1
LM_1900,03-12-2018 23:41,1,2,27,13,11355,0,16,04-12-2018 08:41,8,04-12-2018 06:53,31,3,3,1
LM_1901,03-12-2018 11:38,1,2,27,13,11230,0,7,03-12-2018 20:38,4,03-12-2018 19:24,49,1,1,1
LM_1902,10-12-2018 23:31,1,15,6,13,10025,0,30,11-12-2018 08:31,7,11-12-2018 00:47,30,2,2,1
LM_1903,29-12-2018 15:04,1,18,11,13,10018,2,30,30-12-2018 00:04,6,29-12-2018 17:08,18,2,2,1
LM_1904,17-12-2018 20:11,1,2,27,13,11214,0,7,18-12-2018 05:11,4,17-12-2018 23:20,45,1,1,1
LM_1905,23-12-2018 00:44,1,15,6,13,10011,0,30,23-12-2018 09:44,8,23-12-2018 02:29,18,2,2,1
LM_1906,15-12-2018 20:08,1,10,3,13,11205,0,7,16-12-2018 05:08,8,15-12-2018 22:25,12,1,1,1
LM_1907,22-08-2018 18:36,1,14,22,13,,4,31,23-08-2018 03:36,12,,0,5,5,2
LM_1908,15-12-2018 19:56,1,14,22,13,11226,0,7,16-12-2018 04:56,8,16-12-2018 09:59,54,1,1,1
LM_1909,22-12-2018 14:54,1,3,41,13,11201,0,7,22-12-2018 23:54,6,22-12-2018 16:12,7,1,1,1
LM_1910,30-12-2018 23:32,1,10,34,13,11209,0,7,31-12-2018 08:32,2,31-12-2018 05:09,41,1,1,1
LM_1911,30-12-2018 23:57,1,10,34,13,11209,0,7,31-12-2018 08:57,7,31-12-2018 05:10,41,1,1,1
LM_1912,21-12-2018 13:06,1,3,41,13,10467,0,6,21-12-2018 22:06,6,21-12-2018 17:19,48,0,0,1
LM_1913,18-12-2018 03:29,1,2,27,13,11237,0,7,18-12-2018 12:29,4,18-12-2018 07:37,17,1,1,1
LM_1914,14-12-2018 23:35,1,0,19,13,10010,2,30,15-12-2018 08:35,7,15-12-2018 01:27,22,2,2,1
LM_1915,24-11-2018 01:41,1,14,22,13,,4,31,24-11-2018 10:41,12,,0,5,5,2
LM_1916,13-12-2018 22:57,1,11,22,0,10024,0,30,14-12-2018 07:57,15,14-12-2018 00:34,30,2,2,1
LM_1917,12-12-2018 21:18,1,11,22,0,11205,0,7,13-12-2018 06:18,10,13-12-2018 02:52,12,1,1,1
LM_1918,05-12-2018 18:59,1,10,2,13,11368,0,11,06-12-2018 03:59,4,05-12-2018 20:20,19,3,3,1
LM_1919,06-12-2018 16:35,1,3,41,13,11691,2,14,07-12-2018 01:35,7,06-12-2018 20:05,55,3,3,1
LM_1920,28-12-2018 04:28,1,14,22,13,10451,0,6,28-12-2018 13:28,4,28-12-2018 16:45,16,0,0,1
LM_1921,17-12-2018 06:42,1,10,2,13,11218,0,7,17-12-2018 15:42,2,17-12-2018 08:52,49,1,1,1
LM_1922,02-12-2018 12:42,1,10,34,13,10461,0,6,02-12-2018 21:42,7,02-12-2018 17:11,44,0,0,1
LM_1923,15-12-2018 12:06,1,8,25,13,10016,0,30,15-12-2018 21:06,7,15-12-2018 14:17,22,2,2,1
LM_1924,19-12-2018 03:14,1,11,22,0,10036,0,30,19-12-2018 12:14,7,19-12-2018 06:06,18,2,2,1
LM_1925,30-11-2018 17:46,1,11,5,12,10017,0,30,01-12-2018 02:46,6,30-11-2018 19:33,26,2,2,1
LM_1926,10-12-2018 21:38,1,2,31,13,11105,0,1,11-12-2018 06:38,8,10-12-2018 23:03,4,3,3,1
LM_1927,13-12-2018 09:46,1,10,14,13,11231,0,7,13-12-2018 18:46,8,13-12-2018 11:18,25,1,1,1
LM_1928,11-12-2018 22:30,1,10,34,13,10472,0,6,12-12-2018 07:30,4,12-12-2018 04:51,36,0,0,1
